Source sentence,Answer sentence,Event1,Event2,labels
" causal </s></s> unrelated </s></s> said it plans to aggressively discount its major beer brands , setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ",continues is the cause of setting ,continues ,setting ,Cause-Effect
 causal </s></s> unrelated </s></s> The projection sent Anheuser shares plunging $ 4.375 in New York Stock Exchange composite trading yesterday . ,projection is the cause of plunging ,projection ,plunging ,Cause-Effect
" causal </s></s> unrelated </s></s> said it plans to aggressively discount its major beer brands , setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . "" We can not permit a further slowing in our volume trend , "" Anheuser said , adding it will take "" appropriate competitive pricing actions to support our long-term market share growth strategy "" for the premium brands . ",slow has no relation to permit ,slow ,permit ,NONE
" causal </s></s> unrelated </s></s> Over the summer , Anheuser competitors offered more and deeper discounts than industry observers have seen for a long time . The projection sent Anheuser shares plunging $ 4.375 in New York Stock Exchange composite trading yesterday . ",offered has no relation to plunging ,offered ,plunging ,NONE
" causal </s></s> unrelated </s></s> Starpointe holders , who approved the plan last April , will receive $ 21 in cash a share , or a total $ 63 million . The FDIC cleared the move yesterday , and the banks must wait at least 30 days before closing the purchase . ",approved has no relation to move ,approved ,move ,NONE
" causal </s></s> unrelated </s></s> Nigeria state radio says thousands of people began gathering in the capital Abuja early Tuesday for the two day rally supporting General Sani Abacha 's candidacy . But as supporters of the military leader gathered in the north , riot police deployed in Nigeria 's southern commercial capital Lagos , to break up a protest rally called by the political opposition . ",began has no relation to deployed ,began ,deployed ,NONE
" causal </s></s> unrelated </s></s> Although the government said the economy grew an estimated 2.5 % in the third quarter , in line with expectations , analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter . ",predicting is the cause of disappointments ,predicting ,disappointments ,Cause-Effect
" causal </s></s> unrelated </s></s> Although the government said the economy grew an estimated 2.5 % in the third quarter , in line with expectations , analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter . Later yesterday the nation 's major auto makers added to the gloom when they each reported their core auto operations were net losers in the third quarter . ",said has no relation to added ,said ,added ,NONE
 causal </s></s> unrelated </s></s> Officials in California are warning residents that oncoming rains will cause dangerous and unpredictable landslides . ,rains is the cause of landslides ,rains ,landslides ,Cause-Effect
 causal </s></s> unrelated </s></s> Forecasters say the picture will get worse because more rains are on the way . ,rains is the cause of get ,rains ,get ,Cause-Effect
